previous_state,count,sex,age_group,education,marital_status,previous_state_code,previous_fips
Georgia,2497,Male,45-54,Bachelor's Degree,All,GA,13
Georgia,2577,Male,45-54,Graduate Degree,All,GA,13
Georgia,912,Male,55-64,Less than High School,All,GA,13
Georgia,1470,Male,55-64,High School Grad,All,GA,13
Georgia,2533,Male,55-64,Some College,All,GA,13
Georgia,3009,Male,55-64,Bachelor's Degree,All,GA,13
Georgia,1510,Male,55-64,Graduate Degree,All,GA,13
Georgia,458,Male,65+,Less than High School,All,GA,13
Georgia,2127,Male,65+,High School Grad,All,GA,13
Georgia,1612,Male,65+,Some College,All,GA,13
Georgia,1193,Male,65+,Bachelor's Degree,All,GA,13
Georgia,1294,Male,65+,Graduate Degree,All,GA,13
Hawaii,4157,Female,0-17,Less than High School,All,HI,15
Hawaii,0,Female,0-17,High School Grad,All,HI,15
Hawaii,92,Female,0-17,Some College,All,HI,15
Hawaii,0,Female,0-17,Bachelor's Degree,All,HI,15
Hawaii,0,Female,0-17,Graduate Degree,All,HI,15
Hawaii,0,Female,18-24,Less than High School,All,HI,15
Hawaii,1771,Female,18-24,High School Grad,All,HI,15
Hawaii,2493,Female,18-24,Some College,All,HI,15
Hawaii,1702,Female,18-24,Bachelor's Degree,All,HI,15
Hawaii,0,Female,18-24,Graduate Degree,All,HI,15
Hawaii,211,Female,25-34,Less than High School,All,HI,15
Hawaii,1300,Female,25-34,High School Grad,All,HI,15
Hawaii,2284,Female,25-34,Some College,All,HI,15
Hawaii,1716,Female,25-34,Bachelor's Degree,All,HI,15
Hawaii,1016,Female,25-34,Graduate Degree,All,HI,15
Hawaii,325,Female,35-44,Less than High School,All,HI,15
Hawaii,1189,Female,35-44,High School Grad,All,HI,15
Hawaii,1123,Female,35-44,Some College,All,HI,15
Hawaii,1060,Female,35-44,Bachelor's Degree,All,HI,15
Hawaii,1094,Female,35-44,Graduate Degree,All,HI,15
Hawaii,0,Female,45-54,Less than High School,All,HI,15
Hawaii,267,Female,45-54,High School Grad,All,HI,15
Hawaii,176,Female,45-54,Some College,All,HI,15
Hawaii,553,Female,45-54,Bachelor's Degree,All,HI,15
Hawaii,636,Female,45-54,Graduate Degree,All,HI,15
Hawaii,228,Female,55-64,Less than High School,All,HI,15
Hawaii,51,Female,55-64,High School Grad,All,HI,15
Hawaii,665,Female,55-64,Some College,All,HI,15
Hawaii,176,Female,55-64,Bachelor's Degree,All,HI,15
Hawaii,164,Female,55-64,Graduate Degree,All,HI,15
Hawaii,0,Female,65+,Less than High School,All,HI,15
Hawaii,214,Female,65+,High School Grad,All,HI,15
Hawaii,457,Female,65+,Some College,All,HI,15
Hawaii,577,Female,65+,Bachelor's Degree,All,HI,15
Hawaii,451,Female,65+,Graduate Degree,All,HI,15
Hawaii,5650,Male,0-17,Less than High School,All,HI,15
Hawaii,0,Male,0-17,High School Grad,All,HI,15
Hawaii,0,Male,0-17,Some College,All,HI,15
Hawaii,0,Male,0-17,Bachelor's Degree,All,HI,15
Hawaii,0,Male,0-17,Graduate Degree,All,HI,15
Hawaii,586,Male,18-24,Less than High School,All,HI,15
Hawaii,2512,Male,18-24,High School Grad,All,HI,15
Hawaii,3292,Male,18-24,Some College,All,HI,15
Hawaii,344,Male,18-24,Bachelor's Degree,All,HI,15
Hawaii,0,Male,18-24,Graduate Degree,All,HI,15
Hawaii,156,Male,25-34,Less than High School,All,HI,15
Hawaii,1512,Male,25-34,High School Grad,All,HI,15
Hawaii,1454,Male,25-34,Some College,All,HI,15
Hawaii,1588,Male,25-34,Bachelor's Degree,All,HI,15
Hawaii,1433,Male,25-34,Graduate Degree,All,HI,15
Hawaii,516,Male,35-44,Less than High School,All,HI,15
Hawaii,1318,Male,35-44,High School Grad,All,HI,15
Hawaii,1545,Male,35-44,Some College,All,HI,15
Hawaii,1277,Male,35-44,Bachelor's Degree,All,HI,15
Hawaii,734,Male,35-44,Graduate Degree,All,HI,15
Hawaii,71,Male,45-54,Less than High School,All,HI,15
Hawaii,210,Male,45-54,High School Grad,All,HI,15
Hawaii,778,Male,45-54,Some College,All,HI,15
Hawaii,682,Male,45-54,Bachelor's Degree,All,HI,15
Hawaii,829,Male,45-54,Graduate Degree,All,HI,15
Hawaii,0,Male,55-64,Less than High School,All,HI,15
Hawaii,778,Male,55-64,High School Grad,All,HI,15
Hawaii,990,Male,55-64,Some College,All,HI,15
Hawaii,288,Male,55-64,Bachelor's Degree,All,HI,15
Hawaii,572,Male,55-64,Graduate Degree,All,HI,15
Hawaii,248,Male,65+,Less than High School,All,HI,15
Hawaii,270,Male,65+,High School Grad,All,HI,15
Hawaii,100,Male,65+,Some College,All,HI,15
Hawaii,252,Male,65+,Bachelor's Degree,All,HI,15
Hawaii,496,Male,65+,Graduate Degree,All,HI,15
Idaho,5097,Female,0-17,Less than High School,All,ID,16
Idaho,0,Female,0-17,High School Grad,All,ID,16
Idaho,0,Female,0-17,Some College,All,ID,16
Idaho,0,Female,0-17,Bachelor's Degree,All,ID,16
Idaho,0,Female,0-17,Graduate Degree,All,ID,16
Idaho,543,Female,18-24,Less than High School,All,ID,16
Idaho,1398,Female,18-24,High School Grad,All,ID,16
Idaho,3763,Female,18-24,Some College,All,ID,16
Idaho,1033,Female,18-24,Bachelor's Degree,All,ID,16
Idaho,0,Female,18-24,Graduate Degree,All,ID,16
Idaho,104,Female,25-34,Less than High School,All,ID,16
Idaho,951,Female,25-34,High School Grad,All,ID,16
Idaho,1778,Female,25-34,Some College,All,ID,16
Idaho,4195,Female,25-34,Bachelor's Degree,All,ID,16
Idaho,530,Female,25-34,Graduate Degree,All,ID,16
Idaho,583,Female,35-44,Less than High School,All,ID,16
Idaho,586,Female,35-44,High School Grad,All,ID,16
Idaho,1127,Female,35-44,Some College,All,ID,16
Idaho,936,Female,35-44,Bachelor's Degree,All,ID,16
Idaho,130,Female,35-44,Graduate Degree,All,ID,16
Idaho,18,Female,45-54,Less than High School,All,ID,16
Idaho,1196,Female,45-54,High School Grad,All,ID,16
Idaho,582,Female,45-54,Some College,All,ID,16
Idaho,152,Female,45-54,Bachelor's Degree,All,ID,16
Idaho,343,Female,45-54,Graduate Degree,All,ID,16
Idaho,0,Female,55-64,Less than High School,All,ID,16
Idaho,765,Female,55-64,High School Grad,All,ID,16
Idaho,566,Female,55-64,Some College,All,ID,16
Idaho,693,Female,55-64,Bachelor's Degree,All,ID,16
Idaho,203,Female,55-64,Graduate Degree,All,ID,16
Idaho,168,Female,65+,Less than High School,All,ID,16
Idaho,921,Female,65+,High School Grad,All,ID,16
Idaho,1001,Female,65+,Some College,All,ID,16
Idaho,427,Female,65+,Bachelor's Degree,All,ID,16
Idaho,560,Female,65+,Graduate Degree,All,ID,16
Idaho,6810,Male,0-17,Less than High School,All,ID,16
Idaho,118,Male,0-17,High School Grad,All,ID,16
Idaho,0,Male,0-17,Some College,All,ID,16
Idaho,0,Male,0-17,Bachelor's Degree,All,ID,16
Idaho,0,Male,0-17,Graduate Degree,All,ID,16
Idaho,248,Male,18-24,Less than High School,All,ID,16
Idaho,2574,Male,18-24,High School Grad,All,ID,16
Idaho,3569,Male,18-24,Some College,All,ID,16
Idaho,834,Male,18-24,Bachelor's Degree,All,ID,16
Idaho,0,Male,18-24,Graduate Degree,All,ID,16
Idaho,951,Male,25-34,Less than High School,All,ID,16
Idaho,1213,Male,25-34,High School Grad,All,ID,16
Idaho,1144,Male,25-34,Some College,All,ID,16
Idaho,3115,Male,25-34,Bachelor's Degree,All,ID,16
Idaho,279,Male,25-34,Graduate Degree,All,ID,16
Idaho,787,Male,35-44,Less than High School,All,ID,16
Idaho,1375,Male,35-44,High School Grad,All,ID,16
Idaho,1665,Male,35-44,Some College,All,ID,16
Idaho,1471,Male,35-44,Bachelor's Degree,All,ID,16
Idaho,647,Male,35-44,Graduate Degree,All,ID,16
Idaho,183,Male,45-54,Less than High School,All,ID,16
Idaho,667,Male,45-54,High School Grad,All,ID,16
Idaho,802,Male,45-54,Some College,All,ID,16
Idaho,532,Male,45-54,Bachelor's Degree,All,ID,16
Idaho,301,Male,45-54,Graduate Degree,All,ID,16
Idaho,21,Male,55-64,Less than High School,All,ID,16
Idaho,76,Male,55-64,High School Grad,All,ID,16
Idaho,550,Male,55-64,Some College,All,ID,16
Idaho,524,Male,55-64,Bachelor's Degree,All,ID,16
Idaho,97,Male,55-64,Graduate Degree,All,ID,16
Idaho,137,Male,65+,Less than High School,All,ID,16
Idaho,355,Male,65+,High School Grad,All,ID,16
Idaho,429,Male,65+,Some College,All,ID,16
Idaho,694,Male,65+,Bachelor's Degree,All,ID,16
Idaho,710,Male,65+,Graduate Degree,All,ID,16
Illinois,17893,Female,0-17,Less than High School,All,IL,17
Illinois,0,Female,0-17,High School Grad,All,IL,17
Illinois,152,Female,0-17,Some College,All,IL,17
Illinois,0,Female,0-17,Bachelor's Degree,All,IL,17
Illinois,0,Female,0-17,Graduate Degree,All,IL,17
Illinois,851,Female,18-24,Less than High School,All,IL,17
Illinois,14286,Female,18-24,High School Grad,All,IL,17
Illinois,23736,Female,18-24,Some College,All,IL,17
Illinois,6971,Female,18-24,Bachelor's Degree,All,IL,17
Illinois,1281,Female,18-24,Graduate Degree,All,IL,17
Illinois,355,Female,25-34,Less than High School,All,IL,17
Illinois,3900,Female,25-34,High School Grad,All,IL,17
Illinois,6139,Female,25-34,Some College,All,IL,17
Illinois,10237,Female,25-34,Bachelor's Degree,All,IL,17
Illinois,11401,Female,25-34,Graduate Degree,All,IL,17
Illinois,791,Female,35-44,Less than High School,All,IL,17
Illinois,1221,Female,35-44,High School Grad,All,IL,17
Illinois,2408,Female,35-44,Some College,All,IL,17
Illinois,4642,Female,35-44,Bachelor's Degree,All,IL,17
Illinois,3658,Female,35-44,Graduate Degree,All,IL,17
Illinois,1181,Female,45-54,Less than High School,All,IL,17
Illinois,2231,Female,45-54,High School Grad,All,IL,17
Illinois,3590,Female,45-54,Some College,All,IL,17
Illinois,2608,Female,45-54,Bachelor's Degree,All,IL,17
Illinois,2710,Female,45-54,Graduate Degree,All,IL,17
Illinois,1415,Female,55-64,Less than High School,All,IL,17
Illinois,1473,Female,55-64,High School Grad,All,IL,17
Illinois,2481,Female,55-64,Some College,All,IL,17
Illinois,3819,Female,55-64,Bachelor's Degree,All,IL,17
Illinois,2504,Female,55-64,Graduate Degree,All,IL,17
Illinois,791,Female,65+,Less than High School,All,IL,17
Illinois,3038,Female,65+,High School Grad,All,IL,17
Illinois,5287,Female,65+,Some College,All,IL,17
Illinois,1441,Female,65+,Bachelor's Degree,All,IL,17
Illinois,2550,Female,65+,Graduate Degree,All,IL,17
Illinois,16891,Male,0-17,Less than High School,All,IL,17
Illinois,0,Male,0-17,High School Grad,All,IL,17
Illinois,0,Male,0-17,Some College,All,IL,17
Illinois,0,Male,0-17,Bachelor's Degree,All,IL,17
Illinois,0,Male,0-17,Graduate Degree,All,IL,17
Illinois,385,Male,18-24,Less than High School,All,IL,17
Illinois,13300,Male,18-24,High School Grad,All,IL,17
Illinois,21048,Male,18-24,Some College,All,IL,17
Illinois,6488,Male,18-24,Bachelor's Degree,All,IL,17
Illinois,1509,Male,18-24,Graduate Degree,All,IL,17
Illinois,789,Male,25-34,Less than High School,All,IL,17
Illinois,5240,Male,25-34,High School Grad,All,IL,17
Illinois,5110,Male,25-34,Some College,All,IL,17
Illinois,14107,Male,25-34,Bachelor's Degree,All,IL,17
Illinois,9896,Male,25-34,Graduate Degree,All,IL,17
Illinois,1207,Male,35-44,Less than High School,All,IL,17
Illinois,4192,Male,35-44,High School Grad,All,IL,17
Illinois,3555,Male,35-44,Some College,All,IL,17
Illinois,5661,Male,35-44,Bachelor's Degree,All,IL,17
Illinois,5240,Male,35-44,Graduate Degree,All,IL,17
Illinois,913,Male,45-54,Less than High School,All,IL,17
Illinois,2618,Male,45-54,High School Grad,All,IL,17
Illinois,3028,Male,45-54,Some College,All,IL,17
Illinois,2960,Male,45-54,Bachelor's Degree,All,IL,17
Illinois,2136,Male,45-54,Graduate Degree,All,IL,17
Illinois,369,Male,55-64,Less than High School,All,IL,17
Illinois,3062,Male,55-64,High School Grad,All,IL,17
Illinois,3061,Male,55-64,Some College,All,IL,17
Illinois,3064,Male,55-64,Bachelor's Degree,All,IL,17
Illinois,1923,Male,55-64,Graduate Degree,All,IL,17
Illinois,664,Male,65+,Less than High School,All,IL,17
Illinois,2711,Male,65+,High School Grad,All,IL,17
Illinois,2432,Male,65+,Some College,All,IL,17
Illinois,2520,Male,65+,Bachelor's Degree,All,IL,17
Illinois,2730,Male,65+,Graduate Degree,All,IL,17
Indiana,9744,Female,0-17,Less than High School,All,IN,18
Indiana,0,Female,0-17,High School Grad,All,IN,18
Indiana,11,Female,0-17,Some College,All,IN,18
Indiana,0,Female,0-17,Bachelor's Degree,All,IN,18
Indiana,0,Female,0-17,Graduate Degree,All,IN,18
Indiana,577,Female,18-24,Less than High School,All,IN,18
Indiana,3054,Female,18-24,High School Grad,All,IN,18
Indiana,4938,Female,18-24,Some College,All,IN,18
Indiana,5461,Female,18-24,Bachelor's Degree,All,IN,18
Indiana,1024,Female,18-24,Graduate Degree,All,IN,18
Indiana,884,Female,25-34,Less than High School,All,IN,18
Indiana,1445,Female,25-34,High School Grad,All,IN,18
Indiana,2209,Female,25-34,Some College,All,IN,18
Indiana,5022,Female,25-34,Bachelor's Degree,All,IN,18
Indiana,3661,Female,25-34,Graduate Degree,All,IN,18
Indiana,170,Female,35-44,Less than High School,All,IN,18
Indiana,1876,Female,35-44,High School Grad,All,IN,18
Indiana,1272,Female,35-44,Some College,All,IN,18
Indiana,2311,Female,35-44,Bachelor's Degree,All,IN,18
Indiana,785,Female,35-44,Graduate Degree,All,IN,18
Indiana,245,Female,45-54,Less than High School,All,IN,18
Indiana,620,Female,45-54,High School Grad,All,IN,18
Indiana,1494,Female,45-54,Some College,All,IN,18
Indiana,774,Female,45-54,Bachelor's Degree,All,IN,18
Indiana,557,Female,45-54,Graduate Degree,All,IN,18
Indiana,219,Female,55-64,Less than High School,All,IN,18
Indiana,692,Female,55-64,High School Grad,All,IN,18
Indiana,2241,Female,55-64,Some College,All,IN,18
Indiana,1517,Female,55-64,Bachelor's Degree,All,IN,18
Indiana,602,Female,55-64,Graduate Degree,All,IN,18
Indiana,276,Female,65+,Less than High School,All,IN,18
Indiana,1564,Female,65+,High School Grad,All,IN,18
Indiana,1919,Female,65+,Some College,All,IN,18
Indiana,1096,Female,65+,Bachelor's Degree,All,IN,18
Indiana,435,Female,65+,Graduate Degree,All,IN,18
Indiana,7913,Male,0-17,Less than High School,All,IN,18
Indiana,0,Male,0-17,High School Grad,All,IN,18
Indiana,0,Male,0-17,Some College,All,IN,18
Indiana,0,Male,0-17,Bachelor's Degree,All,IN,18
Indiana,0,Male,0-17,Graduate Degree,All,IN,18
Indiana,1040,Male,18-24,Less than High School,All,IN,18
Indiana,4084,Male,18-24,High School Grad,All,IN,18
Indiana,3066,Male,18-24,Some College,All,IN,18
Indiana,4415,Male,18-24,Bachelor's Degree,All,IN,18
Indiana,309,Male,18-24,Graduate Degree,All,IN,18
Indiana,693,Male,25-34,Less than High School,All,IN,18
Indiana,2749,Male,25-34,High School Grad,All,IN,18
Indiana,2982,Male,25-34,Some College,All,IN,18
Indiana,5339,Male,25-34,Bachelor's Degree,All,IN,18
Indiana,4847,Male,25-34,Graduate Degree,All,IN,18
Indiana,355,Male,35-44,Less than High School,All,IN,18
Indiana,1073,Male,35-44,High School Grad,All,IN,18
Indiana,2251,Male,35-44,Some College,All,IN,18
Indiana,2234,Male,35-44,Bachelor's Degree,All,IN,18
Indiana,950,Male,35-44,Graduate Degree,All,IN,18
Indiana,802,Male,45-54,Less than High School,All,IN,18
Indiana,686,Male,45-54,High School Grad,All,IN,18
Indiana,2254,Male,45-54,Some College,All,IN,18
Indiana,1627,Male,45-54,Bachelor's Degree,All,IN,18
Indiana,663,Male,45-54,Graduate Degree,All,IN,18
Indiana,348,Male,55-64,Less than High School,All,IN,18
Indiana,950,Male,55-64,High School Grad,All,IN,18
Indiana,1083,Male,55-64,Some College,All,IN,18
Indiana,733,Male,55-64,Bachelor's Degree,All,IN,18
Indiana,674,Male,55-64,Graduate Degree,All,IN,18
Indiana,300,Male,65+,Less than High School,All,IN,18
Indiana,1055,Male,65+,High School Grad,All,IN,18
Indiana,919,Male,65+,Some College,All,IN,18
Indiana,838,Male,65+,Bachelor's Degree,All,IN,18
Indiana,641,Male,65+,Graduate Degree,All,IN,18
Iowa,5380,Female,0-17,Less than High School,All,IA,19
Iowa,242,Female,0-17,High School Grad,All,IA,19
Iowa,0,Female,0-17,Some College,All,IA,19
Iowa,0,Female,0-17,Bachelor's Degree,All,IA,19
Iowa,0,Female,0-17,Graduate Degree,All,IA,19
Iowa,658,Female,18-24,Less than High School,All,IA,19
Iowa,1553,Female,18-24,High School Grad,All,IA,19
Iowa,3882,Female,18-24,Some College,All,IA,19
Iowa,3860,Female,18-24,Bachelor's Degree,All,IA,19
Iowa,108,Female,18-24,Graduate Degree,All,IA,19
Iowa,140,Female,25-34,Less than High School,All,IA,19
Iowa,593,Female,25-34,High School Grad,All,IA,19
Iowa,2155,Female,25-34,Some College,All,IA,19
Iowa,3355,Female,25-34,Bachelor's Degree,All,IA,19
Iowa,1529,Female,25-34,Graduate Degree,All,IA,19
Iowa,60,Female,35-44,Less than High School,All,IA,19
Iowa,373,Female,35-44,High School Grad,All,IA,19
Iowa,633,Female,35-44,Some College,All,IA,19
Iowa,1168,Female,35-44,Bachelor's Degree,All,IA,19
Iowa,356,Female,35-44,Graduate Degree,All,IA,19
Iowa,481,Female,45-54,Less than High School,All,IA,19
Iowa,1114,Female,45-54,High School Grad,All,IA,19
Iowa,551,Female,45-54,Some College,All,IA,19
Iowa,553,Female,45-54,Bachelor's Degree,All,IA,19
Iowa,902,Female,45-54,Graduate Degree,All,IA,19
Iowa,0,Female,55-64,Less than High School,All,IA,19
Iowa,1197,Female,55-64,High School Grad,All,IA,19
Iowa,808,Female,55-64,Some College,All,IA,19
Iowa,835,Female,55-64,Bachelor's Degree,All,IA,19
Iowa,0,Female,55-64,Graduate Degree,All,IA,19
Iowa,325,Female,65+,Less than High School,All,IA,19
Iowa,964,Female,65+,High School Grad,All,IA,19
Iowa,1065,Female,65+,Some College,All,IA,19
Iowa,652,Female,65+,Bachelor's Degree,All,IA,19
Iowa,479,Female,65+,Graduate Degree,All,IA,19
Iowa,4565,Male,0-17,Less than High School,All,IA,19
Iowa,0,Male,0-17,High School Grad,All,IA,19
Iowa,0,Male,0-17,Some College,All,IA,19
Iowa,0,Male,0-17,Bachelor's Degree,All,IA,19
Iowa,0,Male,0-17,Graduate Degree,All,IA,19
Iowa,363,Male,18-24,Less than High School,All,IA,19
Iowa,3930,Male,18-24,High School Grad,All,IA,19
Iowa,2583,Male,18-24,Some College,All,IA,19
Iowa,4396,Male,18-24,Bachelor's Degree,All,IA,19
Iowa,408,Male,18-24,Graduate Degree,All,IA,19
Iowa,438,Male,25-34,Less than High School,All,IA,19
Iowa,1105,Male,25-34,High School Grad,All,IA,19
Iowa,2547,Male,25-34,Some College,All,IA,19
Iowa,2707,Male,25-34,Bachelor's Degree,All,IA,19
Iowa,1608,Male,25-34,Graduate Degree,All,IA,19
Iowa,43,Male,35-44,Less than High School,All,IA,19
Iowa,443,Male,35-44,High School Grad,All,IA,19
Iowa,1235,Male,35-44,Some College,All,IA,19
Iowa,1716,Male,35-44,Bachelor's Degree,All,IA,19
Iowa,637,Male,35-44,Graduate Degree,All,IA,19
Iowa,65,Male,45-54,Less than High School,All,IA,19
Iowa,1036,Male,45-54,High School Grad,All,IA,19
Iowa,696,Male,45-54,Some College,All,IA,19
Iowa,968,Male,45-54,Bachelor's Degree,All,IA,19
Iowa,1196,Male,45-54,Graduate Degree,All,IA,19
Iowa,129,Male,55-64,Less than High School,All,IA,19
Iowa,1362,Male,55-64,High School Grad,All,IA,19
Iowa,646,Male,55-64,Some College,All,IA,19
Iowa,538,Male,55-64,Bachelor's Degree,All,IA,19
Iowa,224,Male,55-64,Graduate Degree,All,IA,19
Iowa,359,Male,65+,Less than High School,All,IA,19
Iowa,1330,Male,65+,High School Grad,All,IA,19
Iowa,1198,Male,65+,Some College,All,IA,19
Iowa,722,Male,65+,Bachelor's Degree,All,IA,19
Iowa,256,Male,65+,Graduate Degree,All,IA,19
Kansas,9352,Female,0-17,Less than High School,All,KS,20
Kansas,0,Female,0-17,High School Grad,All,KS,20
Kansas,0,Female,0-17,Some College,All,KS,20
Kansas,0,Female,0-17,Bachelor's Degree,All,KS,20
Kansas,0,Female,0-17,Graduate Degree,All,KS,20
Kansas,557,Female,18-24,Less than High School,All,KS,20
Kansas,2112,Female,18-24,High School Grad,All,KS,20
Kansas,4308,Female,18-24,Some College,All,KS,20
Kansas,3211,Female,18-24,Bachelor's Degree,All,KS,20
Kansas,11,Female,18-24,Graduate Degree,All,KS,20
Kansas,635,Female,25-34,Less than High School,All,KS,20
Kansas,1674,Female,25-34,High School Grad,All,KS,20
Kansas,2657,Female,25-34,Some College,All,KS,20
Kansas,4955,Female,25-34,Bachelor's Degree,All,KS,20
Kansas,2444,Female,25-34,Graduate Degree,All,KS,20
Kansas,206,Female,35-44,Less than High School,All,KS,20
Kansas,181,Female,35-44,High School Grad,All,KS,20
Kansas,833,Female,35-44,Some College,All,KS,20
Kansas,1686,Female,35-44,Bachelor's Degree,All,KS,20
Kansas,2372,Female,35-44,Graduate Degree,All,KS,20
Kansas,29,Female,45-54,Less than High School,All,KS,20
Kansas,646,Female,45-54,High School Grad,All,KS,20
Kansas,1505,Female,45-54,Some College,All,KS,20
Kansas,1074,Female,45-54,Bachelor's Degree,All,KS,20
Kansas,721,Female,45-54,Graduate Degree,All,KS,20
Kansas,0,Female,55-64,Less than High School,All,KS,20
Kansas,169,Female,55-64,High School Grad,All,KS,20
Kansas,1786,Female,55-64,Some College,All,KS,20
Kansas,192,Female,55-64,Bachelor's Degree,All,KS,20
Kansas,346,Female,55-64,Graduate Degree,All,KS,20
Kansas,52,Female,65+,Less than High School,All,KS,20
Kansas,793,Female,65+,High School Grad,All,KS,20
Kansas,1146,Female,65+,Some College,All,KS,20
Kansas,573,Female,65+,Bachelor's Degree,All,KS,20
Kansas,760,Female,65+,Graduate Degree,All,KS,20
Kansas,7579,Male,0-17,Less than High School,All,KS,20
Kansas,0,Male,0-17,High School Grad,All,KS,20
Kansas,0,Male,0-17,Some College,All,KS,20
Kansas,0,Male,0-17,Bachelor's Degree,All,KS,20
Kansas,0,Male,0-17,Graduate Degree,All,KS,20
Kansas,90,Male,18-24,Less than High School,All,KS,20
Kansas,3910,Male,18-24,High School Grad,All,KS,20
Kansas,3311,Male,18-24,Some College,All,KS,20
Kansas,1179,Male,18-24,Bachelor's Degree,All,KS,20
Kansas,426,Male,18-24,Graduate Degree,All,KS,20
Kansas,456,Male,25-34,Less than High School,All,KS,20
Kansas,5128,Male,25-34,High School Grad,All,KS,20
Kansas,2569,Male,25-34,Some College,All,KS,20
Kansas,2679,Male,25-34,Bachelor's Degree,All,KS,20
Kansas,2740,Male,25-34,Graduate Degree,All,KS,20
Kansas,190,Male,35-44,Less than High School,All,KS,20
Kansas,1025,Male,35-44,High School Grad,All,KS,20
Kansas,1529,Male,35-44,Some College,All,KS,20
Kansas,2741,Male,35-44,Bachelor's Degree,All,KS,20
Kansas,1801,Male,35-44,Graduate Degree,All,KS,20
Kansas,174,Male,45-54,Less than High School,All,KS,20
Kansas,703,Male,45-54,High School Grad,All,KS,20
Kansas,1118,Male,45-54,Some College,All,KS,20
Kansas,551,Male,45-54,Bachelor's Degree,All,KS,20
Kansas,230,Male,45-54,Graduate Degree,All,KS,20
Kansas,122,Male,55-64,Less than High School,All,KS,20
Kansas,295,Male,55-64,High School Grad,All,KS,20
Kansas,897,Male,55-64,Some College,All,KS,20
Kansas,545,Male,55-64,Bachelor's Degree,All,KS,20
Kansas,816,Male,55-64,Graduate Degree,All,KS,20
Kansas,282,Male,65+,Less than High School,All,KS,20
Kansas,323,Male,65+,High School Grad,All,KS,20
Kansas,335,Male,65+,Some College,All,KS,20
Kansas,882,Male,65+,Bachelor's Degree,All,KS,20
Kansas,292,Male,65+,Graduate Degree,All,KS,20
Kentucky,6184,Female,0-17,Less than High School,All,KY,21
Kentucky,0,Female,0-17,High School Grad,All,KY,21
Kentucky,0,Female,0-17,Some College,All,KY,21
Kentucky,0,Female,0-17,Bachelor's Degree,All,KY,21
Kentucky,0,Female,0-17,Graduate Degree,All,KY,21
Kentucky,545,Female,18-24,Less than High School,All,KY,21
Kentucky,2774,Female,18-24,High School Grad,All,KY,21
Kentucky,5425,Female,18-24,Some College,All,KY,21
Kentucky,3314,Female,18-24,Bachelor's Degree,All,KY,21
Kentucky,194,Female,18-24,Graduate Degree,All,KY,21
Kentucky,315,Female,25-34,Less than High School,All,KY,21
Kentucky,1969,Female,25-34,High School Grad,All,KY,21
Kentucky,3184,Female,25-34,Some College,All,KY,21
Kentucky,2111,Female,25-34,Bachelor's Degree,All,KY,21
Kentucky,3752,Female,25-34,Graduate Degree,All,KY,21
Kentucky,244,Female,35-44,Less than High School,All,KY,21
Kentucky,204,Female,35-44,High School Grad,All,KY,21
Kentucky,1107,Female,35-44,Some College,All,KY,21
Kentucky,2019,Female,35-44,Bachelor's Degree,All,KY,21
Kentucky,1669,Female,35-44,Graduate Degree,All,KY,21
Kentucky,255,Female,45-54,Less than High School,All,KY,21
Kentucky,1677,Female,45-54,High School Grad,All,KY,21
Kentucky,656,Female,45-54,Some College,All,KY,21
Kentucky,515,Female,45-54,Bachelor's Degree,All,KY,21
Kentucky,881,Female,45-54,Graduate Degree,All,KY,21
Kentucky,188,Female,55-64,Less than High School,All,KY,21
Kentucky,768,Female,55-64,High School Grad,All,KY,21
Kentucky,1636,Female,55-64,Some College,All,KY,21
Kentucky,562,Female,55-64,Bachelor's Degree,All,KY,21
Kentucky,420,Female,55-64,Graduate Degree,All,KY,21
Kentucky,719,Female,65+,Less than High School,All,KY,21
Kentucky,538,Female,65+,High School Grad,All,KY,21
Kentucky,1433,Female,65+,Some College,All,KY,21
Kentucky,1096,Female,65+,Bachelor's Degree,All,KY,21
Kentucky,656,Female,65+,Graduate Degree,All,KY,21
Kentucky,7153,Male,0-17,Less than High School,All,KY,21
Kentucky,6,Male,0-17,High School Grad,All,KY,21
Kentucky,0,Male,0-17,Some College,All,KY,21
Kentucky,0,Male,0-17,Bachelor's Degree,All,KY,21
Kentucky,0,Male,0-17,Graduate Degree,All,KY,21
Kentucky,881,Male,18-24,Less than High School,All,KY,21
Kentucky,6297,Male,18-24,High School Grad,All,KY,21
Kentucky,6159,Male,18-24,Some College,All,KY,21
Kentucky,2478,Male,18-24,Bachelor's Degree,All,KY,21
Kentucky,148,Male,18-24,Graduate Degree,All,KY,21
Kentucky,1174,Male,25-34,Less than High School,All,KY,21
Kentucky,3077,Male,25-34,High School Grad,All,KY,21
Kentucky,2541,Male,25-34,Some College,All,KY,21
Kentucky,4016,Male,25-34,Bachelor's Degree,All,KY,21
Kentucky,1828,Male,25-34,Graduate Degree,All,KY,21
Kentucky,453,Male,35-44,Less than High School,All,KY,21
Kentucky,533,Male,35-44,High School Grad,All,KY,21
Kentucky,1683,Male,35-44,Some College,All,KY,21
Kentucky,1955,Male,35-44,Bachelor's Degree,All,KY,21
Kentucky,1217,Male,35-44,Graduate Degree,All,KY,21
Kentucky,0,Male,45-54,Less than High School,All,KY,21
Kentucky,995,Male,45-54,High School Grad,All,KY,21
Kentucky,360,Male,45-54,Some College,All,KY,21
Kentucky,583,Male,45-54,Bachelor's Degree,All,KY,21
Kentucky,898,Male,45-54,Graduate Degree,All,KY,21
