current_state,count,sex,age_group,education,marital_status,current_state_code,current_fips
Georgia,718,Male,All,Less than High School,Divorced/Separated,GA,13
Georgia,382,Male,All,Less than High School,Widowed,GA,13
Georgia,16810,Male,All,High School Grad,Never Married,GA,13
Georgia,10557,Male,All,High School Grad,Married,GA,13
Georgia,4971,Male,All,High School Grad,Divorced/Separated,GA,13
Georgia,606,Male,All,High School Grad,Widowed,GA,13
Georgia,18952,Male,All,Some College,Never Married,GA,13
Georgia,14774,Male,All,Some College,Married,GA,13
Georgia,4350,Male,All,Some College,Divorced/Separated,GA,13
Georgia,707,Male,All,Some College,Widowed,GA,13
Georgia,13162,Male,All,Bachelor's Degree,Never Married,GA,13
Georgia,14892,Male,All,Bachelor's Degree,Married,GA,13
Georgia,2637,Male,All,Bachelor's Degree,Divorced/Separated,GA,13
Georgia,224,Male,All,Bachelor's Degree,Widowed,GA,13
Georgia,7708,Male,All,Graduate Degree,Never Married,GA,13
Georgia,12454,Male,All,Graduate Degree,Married,GA,13
Georgia,803,Male,All,Graduate Degree,Divorced/Separated,GA,13
Georgia,88,Male,All,Graduate Degree,Widowed,GA,13
Hawaii,4010,Female,All,Less than High School,Never Married,HI,15
Hawaii,668,Female,All,Less than High School,Married,HI,15
Hawaii,0,Female,All,Less than High School,Divorced/Separated,HI,15
Hawaii,0,Female,All,Less than High School,Widowed,HI,15
Hawaii,2223,Female,All,High School Grad,Never Married,HI,15
Hawaii,2054,Female,All,High School Grad,Married,HI,15
Hawaii,596,Female,All,High School Grad,Divorced/Separated,HI,15
Hawaii,227,Female,All,High School Grad,Widowed,HI,15
Hawaii,4001,Female,All,Some College,Never Married,HI,15
Hawaii,4160,Female,All,Some College,Married,HI,15
Hawaii,621,Female,All,Some College,Divorced/Separated,HI,15
Hawaii,0,Female,All,Some College,Widowed,HI,15
Hawaii,2298,Female,All,Bachelor's Degree,Never Married,HI,15
Hawaii,2357,Female,All,Bachelor's Degree,Married,HI,15
Hawaii,616,Female,All,Bachelor's Degree,Divorced/Separated,HI,15
Hawaii,106,Female,All,Bachelor's Degree,Widowed,HI,15
Hawaii,1574,Female,All,Graduate Degree,Never Married,HI,15
Hawaii,2486,Female,All,Graduate Degree,Married,HI,15
Hawaii,413,Female,All,Graduate Degree,Divorced/Separated,HI,15
Hawaii,187,Female,All,Graduate Degree,Widowed,HI,15
Hawaii,5793,Male,All,Less than High School,Never Married,HI,15
Hawaii,226,Male,All,Less than High School,Married,HI,15
Hawaii,41,Male,All,Less than High School,Divorced/Separated,HI,15
Hawaii,0,Male,All,Less than High School,Widowed,HI,15
Hawaii,2826,Male,All,High School Grad,Never Married,HI,15
Hawaii,3573,Male,All,High School Grad,Married,HI,15
Hawaii,241,Male,All,High School Grad,Divorced/Separated,HI,15
Hawaii,0,Male,All,High School Grad,Widowed,HI,15
Hawaii,4301,Male,All,Some College,Never Married,HI,15
Hawaii,3554,Male,All,Some College,Married,HI,15
Hawaii,778,Male,All,Some College,Divorced/Separated,HI,15
Hawaii,0,Male,All,Some College,Widowed,HI,15
Hawaii,4037,Male,All,Bachelor's Degree,Never Married,HI,15
Hawaii,3263,Male,All,Bachelor's Degree,Married,HI,15
Hawaii,692,Male,All,Bachelor's Degree,Divorced/Separated,HI,15
Hawaii,0,Male,All,Bachelor's Degree,Widowed,HI,15
Hawaii,1126,Male,All,Graduate Degree,Never Married,HI,15
Hawaii,2129,Male,All,Graduate Degree,Married,HI,15
Hawaii,337,Male,All,Graduate Degree,Divorced/Separated,HI,15
Hawaii,0,Male,All,Graduate Degree,Widowed,HI,15
Idaho,8711,Female,All,Less than High School,Never Married,ID,16
Idaho,330,Female,All,Less than High School,Married,ID,16
Idaho,161,Female,All,Less than High School,Divorced/Separated,ID,16
Idaho,194,Female,All,Less than High School,Widowed,ID,16
Idaho,3625,Female,All,High School Grad,Never Married,ID,16
Idaho,2011,Female,All,High School Grad,Married,ID,16
Idaho,1408,Female,All,High School Grad,Divorced/Separated,ID,16
Idaho,521,Female,All,High School Grad,Widowed,ID,16
Idaho,4060,Female,All,Some College,Never Married,ID,16
Idaho,6650,Female,All,Some College,Married,ID,16
Idaho,1014,Female,All,Some College,Divorced/Separated,ID,16
Idaho,766,Female,All,Some College,Widowed,ID,16
Idaho,2576,Female,All,Bachelor's Degree,Never Married,ID,16
Idaho,4394,Female,All,Bachelor's Degree,Married,ID,16
Idaho,624,Female,All,Bachelor's Degree,Divorced/Separated,ID,16
Idaho,234,Female,All,Bachelor's Degree,Widowed,ID,16
Idaho,306,Female,All,Graduate Degree,Never Married,ID,16
Idaho,2176,Female,All,Graduate Degree,Married,ID,16
Idaho,580,Female,All,Graduate Degree,Divorced/Separated,ID,16
Idaho,0,Female,All,Graduate Degree,Widowed,ID,16
Idaho,9942,Male,All,Less than High School,Never Married,ID,16
Idaho,277,Male,All,Less than High School,Married,ID,16
Idaho,123,Male,All,Less than High School,Divorced/Separated,ID,16
Idaho,0,Male,All,Less than High School,Widowed,ID,16
Idaho,5999,Male,All,High School Grad,Never Married,ID,16
Idaho,4508,Male,All,High School Grad,Married,ID,16
Idaho,1472,Male,All,High School Grad,Divorced/Separated,ID,16
Idaho,245,Male,All,High School Grad,Widowed,ID,16
Idaho,4710,Male,All,Some College,Never Married,ID,16
Idaho,6188,Male,All,Some College,Married,ID,16
Idaho,1010,Male,All,Some College,Divorced/Separated,ID,16
Idaho,93,Male,All,Some College,Widowed,ID,16
Idaho,2545,Male,All,Bachelor's Degree,Never Married,ID,16
Idaho,2598,Male,All,Bachelor's Degree,Married,ID,16
Idaho,530,Male,All,Bachelor's Degree,Divorced/Separated,ID,16
Idaho,86,Male,All,Bachelor's Degree,Widowed,ID,16
Idaho,237,Male,All,Graduate Degree,Never Married,ID,16
Idaho,1886,Male,All,Graduate Degree,Married,ID,16
Idaho,140,Male,All,Graduate Degree,Divorced/Separated,ID,16
Idaho,38,Male,All,Graduate Degree,Widowed,ID,16
Illinois,16003,Female,All,Less than High School,Never Married,IL,17
Illinois,1120,Female,All,Less than High School,Married,IL,17
Illinois,678,Female,All,Less than High School,Divorced/Separated,IL,17
Illinois,324,Female,All,Less than High School,Widowed,IL,17
Illinois,8158,Female,All,High School Grad,Never Married,IL,17
Illinois,4264,Female,All,High School Grad,Married,IL,17
Illinois,2934,Female,All,High School Grad,Divorced/Separated,IL,17
Illinois,2026,Female,All,High School Grad,Widowed,IL,17
Illinois,14629,Female,All,Some College,Never Married,IL,17
Illinois,5569,Female,All,Some College,Married,IL,17
Illinois,3131,Female,All,Some College,Divorced/Separated,IL,17
Illinois,1023,Female,All,Some College,Widowed,IL,17
Illinois,20985,Female,All,Bachelor's Degree,Never Married,IL,17
Illinois,8837,Female,All,Bachelor's Degree,Married,IL,17
Illinois,1811,Female,All,Bachelor's Degree,Divorced/Separated,IL,17
Illinois,618,Female,All,Bachelor's Degree,Widowed,IL,17
Illinois,6885,Female,All,Graduate Degree,Never Married,IL,17
Illinois,7127,Female,All,Graduate Degree,Married,IL,17
Illinois,1217,Female,All,Graduate Degree,Divorced/Separated,IL,17
Illinois,585,Female,All,Graduate Degree,Widowed,IL,17
Illinois,15540,Male,All,Less than High School,Never Married,IL,17
Illinois,1419,Male,All,Less than High School,Married,IL,17
Illinois,546,Male,All,Less than High School,Divorced/Separated,IL,17
Illinois,387,Male,All,Less than High School,Widowed,IL,17
Illinois,11541,Male,All,High School Grad,Never Married,IL,17
Illinois,3935,Male,All,High School Grad,Married,IL,17
Illinois,1894,Male,All,High School Grad,Divorced/Separated,IL,17
Illinois,387,Male,All,High School Grad,Widowed,IL,17
Illinois,12419,Male,All,Some College,Never Married,IL,17
Illinois,7795,Male,All,Some College,Married,IL,17
Illinois,1989,Male,All,Some College,Divorced/Separated,IL,17
Illinois,0,Male,All,Some College,Widowed,IL,17
Illinois,15294,Male,All,Bachelor's Degree,Never Married,IL,17
Illinois,7460,Male,All,Bachelor's Degree,Married,IL,17
Illinois,1767,Male,All,Bachelor's Degree,Divorced/Separated,IL,17
Illinois,0,Male,All,Bachelor's Degree,Widowed,IL,17
Illinois,7025,Male,All,Graduate Degree,Never Married,IL,17
Illinois,8267,Male,All,Graduate Degree,Married,IL,17
Illinois,908,Male,All,Graduate Degree,Divorced/Separated,IL,17
Illinois,131,Male,All,Graduate Degree,Widowed,IL,17
Indiana,11588,Female,All,Less than High School,Never Married,IN,18
Indiana,1193,Female,All,Less than High School,Married,IN,18
Indiana,353,Female,All,Less than High School,Divorced/Separated,IN,18
Indiana,664,Female,All,Less than High School,Widowed,IN,18
Indiana,11032,Female,All,High School Grad,Never Married,IN,18
Indiana,4210,Female,All,High School Grad,Married,IN,18
Indiana,2145,Female,All,High School Grad,Divorced/Separated,IN,18
Indiana,734,Female,All,High School Grad,Widowed,IN,18
Indiana,8020,Female,All,Some College,Never Married,IN,18
Indiana,4790,Female,All,Some College,Married,IN,18
Indiana,3332,Female,All,Some College,Divorced/Separated,IN,18
Indiana,807,Female,All,Some College,Widowed,IN,18
Indiana,6881,Female,All,Bachelor's Degree,Never Married,IN,18
Indiana,5804,Female,All,Bachelor's Degree,Married,IN,18
Indiana,982,Female,All,Bachelor's Degree,Divorced/Separated,IN,18
Indiana,472,Female,All,Bachelor's Degree,Widowed,IN,18
Indiana,1830,Female,All,Graduate Degree,Never Married,IN,18
Indiana,4902,Female,All,Graduate Degree,Married,IN,18
Indiana,1044,Female,All,Graduate Degree,Divorced/Separated,IN,18
Indiana,21,Female,All,Graduate Degree,Widowed,IN,18
Indiana,16539,Male,All,Less than High School,Never Married,IN,18
Indiana,2078,Male,All,Less than High School,Married,IN,18
Indiana,512,Male,All,Less than High School,Divorced/Separated,IN,18
Indiana,91,Male,All,Less than High School,Widowed,IN,18
Indiana,12065,Male,All,High School Grad,Never Married,IN,18
Indiana,4738,Male,All,High School Grad,Married,IN,18
Indiana,1932,Male,All,High School Grad,Divorced/Separated,IN,18
Indiana,345,Male,All,High School Grad,Widowed,IN,18
Indiana,10116,Male,All,Some College,Never Married,IN,18
Indiana,4855,Male,All,Some College,Married,IN,18
Indiana,1614,Male,All,Some College,Divorced/Separated,IN,18
Indiana,328,Male,All,Some College,Widowed,IN,18
Indiana,6750,Male,All,Bachelor's Degree,Never Married,IN,18
Indiana,5964,Male,All,Bachelor's Degree,Married,IN,18
Indiana,769,Male,All,Bachelor's Degree,Divorced/Separated,IN,18
Indiana,665,Male,All,Bachelor's Degree,Widowed,IN,18
Indiana,3691,Male,All,Graduate Degree,Never Married,IN,18
Indiana,4373,Male,All,Graduate Degree,Married,IN,18
Indiana,436,Male,All,Graduate Degree,Divorced/Separated,IN,18
Indiana,0,Male,All,Graduate Degree,Widowed,IN,18
Iowa,5372,Female,All,Less than High School,Never Married,IA,19
Iowa,603,Female,All,Less than High School,Married,IA,19
Iowa,31,Female,All,Less than High School,Divorced/Separated,IA,19
Iowa,165,Female,All,Less than High School,Widowed,IA,19
Iowa,4694,Female,All,High School Grad,Never Married,IA,19
Iowa,2205,Female,All,High School Grad,Married,IA,19
Iowa,676,Female,All,High School Grad,Divorced/Separated,IA,19
Iowa,692,Female,All,High School Grad,Widowed,IA,19
Iowa,6049,Female,All,Some College,Never Married,IA,19
Iowa,2332,Female,All,Some College,Married,IA,19
Iowa,1709,Female,All,Some College,Divorced/Separated,IA,19
Iowa,216,Female,All,Some College,Widowed,IA,19
Iowa,3200,Female,All,Bachelor's Degree,Never Married,IA,19
Iowa,3740,Female,All,Bachelor's Degree,Married,IA,19
Iowa,497,Female,All,Bachelor's Degree,Divorced/Separated,IA,19
Iowa,0,Female,All,Bachelor's Degree,Widowed,IA,19
Iowa,80,Female,All,Graduate Degree,Never Married,IA,19
Iowa,1584,Female,All,Graduate Degree,Married,IA,19
Iowa,239,Female,All,Graduate Degree,Divorced/Separated,IA,19
Iowa,0,Female,All,Graduate Degree,Widowed,IA,19
Iowa,5868,Male,All,Less than High School,Never Married,IA,19
Iowa,710,Male,All,Less than High School,Married,IA,19
Iowa,38,Male,All,Less than High School,Divorced/Separated,IA,19
Iowa,0,Male,All,Less than High School,Widowed,IA,19
Iowa,7117,Male,All,High School Grad,Never Married,IA,19
Iowa,2608,Male,All,High School Grad,Married,IA,19
Iowa,1347,Male,All,High School Grad,Divorced/Separated,IA,19
Iowa,539,Male,All,High School Grad,Widowed,IA,19
Iowa,8008,Male,All,Some College,Never Married,IA,19
Iowa,3112,Male,All,Some College,Married,IA,19
Iowa,1282,Male,All,Some College,Divorced/Separated,IA,19
Iowa,28,Male,All,Some College,Widowed,IA,19
Iowa,3254,Male,All,Bachelor's Degree,Never Married,IA,19
Iowa,3178,Male,All,Bachelor's Degree,Married,IA,19
Iowa,764,Male,All,Bachelor's Degree,Divorced/Separated,IA,19
Iowa,168,Male,All,Bachelor's Degree,Widowed,IA,19
Iowa,577,Male,All,Graduate Degree,Never Married,IA,19
Iowa,2201,Male,All,Graduate Degree,Married,IA,19
Iowa,559,Male,All,Graduate Degree,Divorced/Separated,IA,19
Iowa,57,Male,All,Graduate Degree,Widowed,IA,19
Kansas,7832,Female,All,Less than High School,Never Married,KS,20
Kansas,950,Female,All,Less than High School,Married,KS,20
Kansas,555,Female,All,Less than High School,Divorced/Separated,KS,20
Kansas,520,Female,All,Less than High School,Widowed,KS,20
Kansas,3238,Female,All,High School Grad,Never Married,KS,20
Kansas,2113,Female,All,High School Grad,Married,KS,20
Kansas,1754,Female,All,High School Grad,Divorced/Separated,KS,20
Kansas,320,Female,All,High School Grad,Widowed,KS,20
Kansas,5970,Female,All,Some College,Never Married,KS,20
Kansas,3159,Female,All,Some College,Married,KS,20
Kansas,1084,Female,All,Some College,Divorced/Separated,KS,20
Kansas,552,Female,All,Some College,Widowed,KS,20
Kansas,3058,Female,All,Bachelor's Degree,Never Married,KS,20
Kansas,3952,Female,All,Bachelor's Degree,Married,KS,20
Kansas,434,Female,All,Bachelor's Degree,Divorced/Separated,KS,20
Kansas,398,Female,All,Bachelor's Degree,Widowed,KS,20
Kansas,1990,Female,All,Graduate Degree,Never Married,KS,20
Kansas,1766,Female,All,Graduate Degree,Married,KS,20
Kansas,317,Female,All,Graduate Degree,Divorced/Separated,KS,20
Kansas,140,Female,All,Graduate Degree,Widowed,KS,20
Kansas,9824,Male,All,Less than High School,Never Married,KS,20
Kansas,1135,Male,All,Less than High School,Married,KS,20
Kansas,515,Male,All,Less than High School,Divorced/Separated,KS,20
Kansas,15,Male,All,Less than High School,Widowed,KS,20
Kansas,3904,Male,All,High School Grad,Never Married,KS,20
Kansas,2279,Male,All,High School Grad,Married,KS,20
Kansas,969,Male,All,High School Grad,Divorced/Separated,KS,20
Kansas,364,Male,All,High School Grad,Widowed,KS,20
Kansas,6357,Male,All,Some College,Never Married,KS,20
Kansas,3628,Male,All,Some College,Married,KS,20
Kansas,1431,Male,All,Some College,Divorced/Separated,KS,20
Kansas,119,Male,All,Some College,Widowed,KS,20
Kansas,3167,Male,All,Bachelor's Degree,Never Married,KS,20
Kansas,2460,Male,All,Bachelor's Degree,Married,KS,20
Kansas,883,Male,All,Bachelor's Degree,Divorced/Separated,KS,20
Kansas,164,Male,All,Bachelor's Degree,Widowed,KS,20
Kansas,1290,Male,All,Graduate Degree,Never Married,KS,20
Kansas,1907,Male,All,Graduate Degree,Married,KS,20
Kansas,212,Male,All,Graduate Degree,Divorced/Separated,KS,20
Kansas,40,Male,All,Graduate Degree,Widowed,KS,20
Kentucky,10056,Female,All,Less than High School,Never Married,KY,21
Kentucky,641,Female,All,Less than High School,Married,KY,21
Kentucky,495,Female,All,Less than High School,Divorced/Separated,KY,21
Kentucky,318,Female,All,Less than High School,Widowed,KY,21
Kentucky,3512,Female,All,High School Grad,Never Married,KY,21
Kentucky,4438,Female,All,High School Grad,Married,KY,21
Kentucky,1530,Female,All,High School Grad,Divorced/Separated,KY,21
Kentucky,1331,Female,All,High School Grad,Widowed,KY,21
Kentucky,6551,Female,All,Some College,Never Married,KY,21
Kentucky,5774,Female,All,Some College,Married,KY,21
Kentucky,1606,Female,All,Some College,Divorced/Separated,KY,21
Kentucky,654,Female,All,Some College,Widowed,KY,21
Kentucky,3593,Female,All,Bachelor's Degree,Never Married,KY,21
Kentucky,4599,Female,All,Bachelor's Degree,Married,KY,21
Kentucky,2261,Female,All,Bachelor's Degree,Divorced/Separated,KY,21
Kentucky,99,Female,All,Bachelor's Degree,Widowed,KY,21
Kentucky,535,Female,All,Graduate Degree,Never Married,KY,21
Kentucky,2189,Female,All,Graduate Degree,Married,KY,21
Kentucky,622,Female,All,Graduate Degree,Divorced/Separated,KY,21
Kentucky,22,Female,All,Graduate Degree,Widowed,KY,21
Kentucky,11504,Male,All,Less than High School,Never Married,KY,21
Kentucky,688,Male,All,Less than High School,Married,KY,21
Kentucky,611,Male,All,Less than High School,Divorced/Separated,KY,21
Kentucky,163,Male,All,Less than High School,Widowed,KY,21
Kentucky,5614,Male,All,High School Grad,Never Married,KY,21
Kentucky,4325,Male,All,High School Grad,Married,KY,21
Kentucky,1563,Male,All,High School Grad,Divorced/Separated,KY,21
Kentucky,501,Male,All,High School Grad,Widowed,KY,21
Kentucky,5962,Male,All,Some College,Never Married,KY,21
Kentucky,7083,Male,All,Some College,Married,KY,21
Kentucky,2970,Male,All,Some College,Divorced/Separated,KY,21
Kentucky,129,Male,All,Some College,Widowed,KY,21
Kentucky,2284,Male,All,Bachelor's Degree,Never Married,KY,21
Kentucky,4087,Male,All,Bachelor's Degree,Married,KY,21
Kentucky,793,Male,All,Bachelor's Degree,Divorced/Separated,KY,21
Kentucky,215,Male,All,Bachelor's Degree,Widowed,KY,21
Kentucky,649,Male,All,Graduate Degree,Never Married,KY,21
Kentucky,2843,Male,All,Graduate Degree,Married,KY,21
Kentucky,719,Male,All,Graduate Degree,Divorced/Separated,KY,21
Kentucky,0,Male,All,Graduate Degree,Widowed,KY,21
Louisiana,6421,Female,All,Less than High School,Never Married,LA,22
Louisiana,905,Female,All,Less than High School,Married,LA,22
Louisiana,395,Female,All,Less than High School,Divorced/Separated,LA,22
Louisiana,19,Female,All,Less than High School,Widowed,LA,22
Louisiana,3328,Female,All,High School Grad,Never Married,LA,22
Louisiana,1919,Female,All,High School Grad,Married,LA,22
Louisiana,757,Female,All,High School Grad,Divorced/Separated,LA,22
Louisiana,627,Female,All,High School Grad,Widowed,LA,22
Louisiana,4512,Female,All,Some College,Never Married,LA,22
Louisiana,2971,Female,All,Some College,Married,LA,22
Louisiana,1010,Female,All,Some College,Divorced/Separated,LA,22
Louisiana,366,Female,All,Some College,Widowed,LA,22
Louisiana,1689,Female,All,Bachelor's Degree,Never Married,LA,22
Louisiana,2605,Female,All,Bachelor's Degree,Married,LA,22
Louisiana,287,Female,All,Bachelor's Degree,Divorced/Separated,LA,22
Louisiana,212,Female,All,Bachelor's Degree,Widowed,LA,22
Louisiana,1582,Female,All,Graduate Degree,Never Married,LA,22
Louisiana,1895,Female,All,Graduate Degree,Married,LA,22
Louisiana,260,Female,All,Graduate Degree,Divorced/Separated,LA,22
Louisiana,51,Female,All,Graduate Degree,Widowed,LA,22
Louisiana,6958,Male,All,Less than High School,Never Married,LA,22
Louisiana,1391,Male,All,Less than High School,Married,LA,22
Louisiana,673,Male,All,Less than High School,Divorced/Separated,LA,22
Louisiana,247,Male,All,Less than High School,Widowed,LA,22
Louisiana,3603,Male,All,High School Grad,Never Married,LA,22
Louisiana,4666,Male,All,High School Grad,Married,LA,22
Louisiana,902,Male,All,High School Grad,Divorced/Separated,LA,22
Louisiana,359,Male,All,High School Grad,Widowed,LA,22
Louisiana,3680,Male,All,Some College,Never Married,LA,22
Louisiana,1887,Male,All,Some College,Married,LA,22
Louisiana,2237,Male,All,Some College,Divorced/Separated,LA,22
Louisiana,131,Male,All,Some College,Widowed,LA,22
Louisiana,2242,Male,All,Bachelor's Degree,Never Married,LA,22
Louisiana,2366,Male,All,Bachelor's Degree,Married,LA,22
Louisiana,311,Male,All,Bachelor's Degree,Divorced/Separated,LA,22
Louisiana,44,Male,All,Bachelor's Degree,Widowed,LA,22
Louisiana,1093,Male,All,Graduate Degree,Never Married,LA,22
Louisiana,1579,Male,All,Graduate Degree,Married,LA,22
Louisiana,294,Male,All,Graduate Degree,Divorced/Separated,LA,22
Louisiana,0,Male,All,Graduate Degree,Widowed,LA,22
Maine,2504,Female,All,Less than High School,Never Married,ME,23
Maine,109,Female,All,Less than High School,Married,ME,23
Maine,18,Female,All,Less than High School,Divorced/Separated,ME,23
Maine,134,Female,All,Less than High School,Widowed,ME,23
Maine,1438,Female,All,High School Grad,Never Married,ME,23
Maine,697,Female,All,High School Grad,Married,ME,23
Maine,125,Female,All,High School Grad,Divorced/Separated,ME,23
Maine,46,Female,All,High School Grad,Widowed,ME,23
Maine,2583,Female,All,Some College,Never Married,ME,23
Maine,1822,Female,All,Some College,Married,ME,23
Maine,1654,Female,All,Some College,Divorced/Separated,ME,23
Maine,0,Female,All,Some College,Widowed,ME,23
Maine,1954,Female,All,Bachelor's Degree,Never Married,ME,23
Maine,1973,Female,All,Bachelor's Degree,Married,ME,23
Maine,218,Female,All,Bachelor's Degree,Divorced/Separated,ME,23
Maine,73,Female,All,Bachelor's Degree,Widowed,ME,23
Maine,866,Female,All,Graduate Degree,Never Married,ME,23
Maine,1815,Female,All,Graduate Degree,Married,ME,23
Maine,61,Female,All,Graduate Degree,Divorced/Separated,ME,23
Maine,202,Female,All,Graduate Degree,Widowed,ME,23
Maine,1436,Male,All,Less than High School,Never Married,ME,23
Maine,83,Male,All,Less than High School,Married,ME,23
Maine,66,Male,All,Less than High School,Divorced/Separated,ME,23
Maine,0,Male,All,Less than High School,Widowed,ME,23
Maine,1389,Male,All,High School Grad,Never Married,ME,23
Maine,1088,Male,All,High School Grad,Married,ME,23
Maine,874,Male,All,High School Grad,Divorced/Separated,ME,23
Maine,299,Male,All,High School Grad,Widowed,ME,23
Maine,2406,Male,All,Some College,Never Married,ME,23
Maine,1114,Male,All,Some College,Married,ME,23
Maine,581,Male,All,Some College,Divorced/Separated,ME,23
Maine,282,Male,All,Some College,Widowed,ME,23
Maine,1747,Male,All,Bachelor's Degree,Never Married,ME,23
Maine,1378,Male,All,Bachelor's Degree,Married,ME,23
Maine,1232,Male,All,Bachelor's Degree,Divorced/Separated,ME,23
Maine,110,Male,All,Bachelor's Degree,Widowed,ME,23
Maine,760,Male,All,Graduate Degree,Never Married,ME,23
Maine,2816,Male,All,Graduate Degree,Married,ME,23
Maine,161,Male,All,Graduate Degree,Divorced/Separated,ME,23
Maine,50,Male,All,Graduate Degree,Widowed,ME,23
Maryland,14844,Female,All,Less than High School,Never Married,MD,24
Maryland,579,Female,All,Less than High School,Married,MD,24
Maryland,347,Female,All,Less than High School,Divorced/Separated,MD,24
Maryland,217,Female,All,Less than High School,Widowed,MD,24
Maryland,6271,Female,All,High School Grad,Never Married,MD,24
Maryland,2740,Female,All,High School Grad,Married,MD,24
Maryland,840,Female,All,High School Grad,Divorced/Separated,MD,24
Maryland,1410,Female,All,High School Grad,Widowed,MD,24
Maryland,9689,Female,All,Some College,Never Married,MD,24
Maryland,2946,Female,All,Some College,Married,MD,24
Maryland,2658,Female,All,Some College,Divorced/Separated,MD,24
Maryland,1290,Female,All,Some College,Widowed,MD,24
Maryland,10118,Female,All,Bachelor's Degree,Never Married,MD,24
Maryland,6565,Female,All,Bachelor's Degree,Married,MD,24
Maryland,1318,Female,All,Bachelor's Degree,Divorced/Separated,MD,24
Maryland,511,Female,All,Bachelor's Degree,Widowed,MD,24
Maryland,7502,Female,All,Graduate Degree,Never Married,MD,24
Maryland,10876,Female,All,Graduate Degree,Married,MD,24
Maryland,2268,Female,All,Graduate Degree,Divorced/Separated,MD,24
Maryland,492,Female,All,Graduate Degree,Widowed,MD,24
Maryland,15131,Male,All,Less than High School,Never Married,MD,24
Maryland,553,Male,All,Less than High School,Married,MD,24
Maryland,734,Male,All,Less than High School,Divorced/Separated,MD,24
Maryland,85,Male,All,Less than High School,Widowed,MD,24
Maryland,6911,Male,All,High School Grad,Never Married,MD,24
Maryland,3050,Male,All,High School Grad,Married,MD,24
Maryland,1983,Male,All,High School Grad,Divorced/Separated,MD,24
Maryland,262,Male,All,High School Grad,Widowed,MD,24
Maryland,9069,Male,All,Some College,Never Married,MD,24
Maryland,4396,Male,All,Some College,Married,MD,24
Maryland,1370,Male,All,Some College,Divorced/Separated,MD,24
Maryland,37,Male,All,Some College,Widowed,MD,24
Maryland,8580,Male,All,Bachelor's Degree,Never Married,MD,24
Maryland,9174,Male,All,Bachelor's Degree,Married,MD,24
Maryland,623,Male,All,Bachelor's Degree,Divorced/Separated,MD,24
Maryland,420,Male,All,Bachelor's Degree,Widowed,MD,24
Maryland,4354,Male,All,Graduate Degree,Never Married,MD,24
Maryland,9047,Male,All,Graduate Degree,Married,MD,24
Maryland,1174,Male,All,Graduate Degree,Divorced/Separated,MD,24
Maryland,564,Male,All,Graduate Degree,Widowed,MD,24
Massachusetts,9408,Female,All,Less than High School,Never Married,MA,25
Massachusetts,587,Female,All,Less than High School,Married,MA,25
Massachusetts,756,Female,All,Less than High School,Divorced/Separated,MA,25
Massachusetts,78,Female,All,Less than High School,Widowed,MA,25
Massachusetts,7973,Female,All,High School Grad,Never Married,MA,25
Massachusetts,1547,Female,All,High School Grad,Married,MA,25
Massachusetts,1166,Female,All,High School Grad,Divorced/Separated,MA,25
Massachusetts,719,Female,All,High School Grad,Widowed,MA,25
Massachusetts,14501,Female,All,Some College,Never Married,MA,25
Massachusetts,2167,Female,All,Some College,Married,MA,25
Massachusetts,1119,Female,All,Some College,Divorced/Separated,MA,25
Massachusetts,915,Female,All,Some College,Widowed,MA,25
Massachusetts,15676,Female,All,Bachelor's Degree,Never Married,MA,25
Massachusetts,5519,Female,All,Bachelor's Degree,Married,MA,25
Massachusetts,1505,Female,All,Bachelor's Degree,Divorced/Separated,MA,25
Massachusetts,271,Female,All,Bachelor's Degree,Widowed,MA,25
Massachusetts,7444,Female,All,Graduate Degree,Never Married,MA,25
Massachusetts,7467,Female,All,Graduate Degree,Married,MA,25
Massachusetts,2100,Female,All,Graduate Degree,Divorced/Separated,MA,25
Massachusetts,376,Female,All,Graduate Degree,Widowed,MA,25
Massachusetts,8960,Male,All,Less than High School,Never Married,MA,25
Massachusetts,611,Male,All,Less than High School,Married,MA,25
Massachusetts,319,Male,All,Less than High School,Divorced/Separated,MA,25
Massachusetts,153,Male,All,Less than High School,Widowed,MA,25
Massachusetts,7208,Male,All,High School Grad,Never Married,MA,25
Massachusetts,1075,Male,All,High School Grad,Married,MA,25
Massachusetts,454,Male,All,High School Grad,Divorced/Separated,MA,25
Massachusetts,129,Male,All,High School Grad,Widowed,MA,25
Massachusetts,10221,Male,All,Some College,Never Married,MA,25
Massachusetts,3124,Male,All,Some College,Married,MA,25
Massachusetts,963,Male,All,Some College,Divorced/Separated,MA,25
Massachusetts,218,Male,All,Some College,Widowed,MA,25
Massachusetts,13055,Male,All,Bachelor's Degree,Never Married,MA,25
Massachusetts,6775,Male,All,Bachelor's Degree,Married,MA,25
Massachusetts,1568,Male,All,Bachelor's Degree,Divorced/Separated,MA,25
Massachusetts,0,Male,All,Bachelor's Degree,Widowed,MA,25
Massachusetts,6600,Male,All,Graduate Degree,Never Married,MA,25
Massachusetts,6961,Male,All,Graduate Degree,Married,MA,25
Massachusetts,1190,Male,All,Graduate Degree,Divorced/Separated,MA,25
Massachusetts,79,Male,All,Graduate Degree,Widowed,MA,25
Michigan,9409,Female,All,Less than High School,Never Married,MI,26
Michigan,726,Female,All,Less than High School,Married,MI,26
Michigan,632,Female,All,Less than High School,Divorced/Separated,MI,26
Michigan,149,Female,All,Less than High School,Widowed,MI,26
